gene,log2FC,pvalue,negLog10P,significance,|log2FC|
OR5E1P,0.360958800220005,0.216334897274927,0.664873418279467,NS,0.360958800220005
CYP2G1P,0.360608211584231,0.0214613711897249,1.66834253394942,Up,0.360608211584231
NRG4,-0.359573842822982,0.0277043215017589,1.55745248154993,Down,0.359573842822982
MIRLET7E,0.355945241396163,0.0561491097449595,1.2506571251713,NS,0.355945241396163
CD226,0.351971463917702,0.000535064730086913,3.27159367551325,Up,0.351971463917702
C13orf29,0.349876732588239,0.226029327282028,0.645835207532126,NS,0.349876732588239
AADAC,0.349279776528927,0.057117814163354,1.24322842089151,NS,0.349279776528927
IGJ,-0.347656033740657,0.236683142356988,0.625832673385051,NS,0.347656033740657
OR7G2,0.347005185088397,0.00021997627866125,3.65762414918674,Up,0.347005185088397
MS4A1,-0.345500723202028,0.0176477067257721,1.75331172206374,Down,0.345500723202028
C14orf129,0.345242673541211,0.208664474436215,0.680551484186178,NS,0.345242673541211
LOC100507404,0.344946031659138,0.143328748692369,0.843666690647865,NS,0.344946031659138
ANKRD45,0.344208865413661,0.208834189889763,0.680198398079192,NS,0.344208865413661
KCNJ10,0.343470842110111,0.114525377857015,0.941098266668703,NS,0.343470842110111
MIR28,0.342871636876787,0.374099904667164,0.427012402474155,NS,0.342871636876787
COX16,-0.341653740029316,0.00720081591416009,2.14261829149354,Down,0.341653740029316
TTC5,0.339603723564482,0.030193643068408,1.52008448323217,Up,0.339603723564482
MRPS28,-0.338321165251162,0.00025413928860996,3.59492819009514,Down,0.338321165251162
PROM1,0.337915585675888,0.344206487256722,0.463180948786938,NS,0.337915585675888
SERPINB11,-0.337831619633364,0.0020374703870976,2.69090869464372,Down,0.337831619633364
GAFA3,0.335791453228966,0.194482985069712,0.71111838823838,NS,0.335791453228966
LOC154872,-0.333813337958923,0.000164556803700801,3.78368415682977,Down,0.333813337958923
OR13C2,0.333370003532663,0.442152279614617,0.354428131541087,NS,0.333370003532663
LOC400707,-0.332879471645891,0.0713980661833128,1.14631355093097,NS,0.332879471645891
MIR29C,0.331436584540471,0.183546730175103,0.73625334790507,NS,0.331436584540471
OR5A2,0.330342614206699,0.0544949829032831,1.26364347933284,NS,0.330342614206699
C11orf74,-0.329985011436982,0.180239702545157,0.744149538012498,NS,0.329985011436982
TACR3,0.327601109558017,0.121758961881621,0.914499063357715,NS,0.327601109558017
GJA9,0.327354319633645,0.342422310693069,0.465437946403701,NS,0.327354319633645
VN1R4,0.327272879520255,0.278265106105827,0.555541249921102,NS,0.327272879520255
ZBBX,0.326734726866199,0.095161625635741,1.02153814756582,NS,0.326734726866199
CD209,-0.326507448854044,0.0484397392948192,1.31479820291805,Down,0.326507448854044
OR2J1,0.326254432325292,0.0468454209378187,1.32933285426668,Up,0.326254432325292
DAO,0.325966896075808,0.0376188295347044,1.42459472113351,Up,0.325966896075808
HERC6,0.322316776904113,0.377928254531802,0.422590638306465,NS,0.322316776904113
C2orf42,0.320688751130169,0.0823052390985931,1.08457251911105,NS,0.320688751130169
LOC652493,-0.319919877476262,0.211331998154568,0.675034740667277,NS,0.319919877476262
LOC732275,0.319894809824669,0.109790139795888,0.959436661930764,NS,0.319894809824669
B4GALT6,-0.319803376350016,0.0309539826853442,1.50928346467325,Down,0.319803376350016
TRMT61B,-0.316561727678977,0.0022982685803718,2.63859922013965,Down,0.316561727678977
C5orf54,-0.316244923347234,0.37874915538275,0.42164832697286,NS,0.316244923347234
XCL1,-0.316185526201381,0.00924787830456039,2.03395789388955,Down,0.316185526201381
CPM,0.314320722085813,0.151866132403751,0.818539067151786,NS,0.314320722085813
GZMK,-0.313671474652579,0.000946692259707893,3.02379117372227,Down,0.313671474652579
SHCBP1,0.313509819196075,0.065870666623998,1.18130794139136,NS,0.313509819196075
CNTN3,-0.313184204017373,0.00421874147009719,2.37481708792706,Down,0.313184204017373
MIR135A1,0.312950487878434,0.325333614897027,0.487671061187688,NS,0.312950487878434
EHHADH,-0.312690976985607,0.138980175665023,0.857047143726491,NS,0.312690976985607
DUSP19,0.311903086213064,0.256098068763786,0.591593696535059,NS,0.311903086213064
NMNAT1,0.311430959090216,0.078901862116409,1.10291274714117,NS,0.311430959090216
ANKRD36,-0.311263663702436,0.26482398348833,0.57704268605646,NS,0.311263663702436
APOOL,-0.310940047482566,0.250305008044382,0.601530461041869,NS,0.310940047482566
RPL23P8,-0.310542047262385,0.0344664025174761,1.46260404436528,Down,0.310542047262385
ORM2,-0.309900145556373,0.0971384680139478,1.01260875013553,NS,0.309900145556373
PTPN20A,-0.309331716633314,0.0150661431587748,1.82199791020952,Down,0.309331716633314
ZNF772,0.309110811051277,0.151228797664989,0.820365500659328,NS,0.309110811051277
MX2,0.309041902010104,0.351603115083101,0.45394728588095,NS,0.309041902010104
IGHV7-81,0.308906282608517,0.00713149284291517,2.14681954930977,Up,0.308906282608517
LOC388022,0.308537281956291,0.138538461877649,0.858429638424008,NS,0.308537281956291
CYTIP,-0.308421308498341,0.00154302996025658,2.81162564137185,Down,0.308421308498341
RBM8A,-0.308138877954246,0.0886437886872647,1.05235169021933,NS,0.308138877954246
MIR26A1,0.307960649027231,0.143080673477112,0.844419024305114,NS,0.307960649027231
STEAP4,0.307865302243949,0.219395194290743,0.658772889595721,NS,0.307865302243949
ADAM30,0.307836424325819,0.0147577837366455,1.83097885817793,Up,0.307836424325819
SNORD116-22,0.307157005981537,0.295593386889084,0.529305286345229,NS,0.307157005981537
SSX5,0.306929522048301,0.0770669344169753,1.11313191611806,NS,0.306929522048301
VTRNA1-1,0.306685665555233,0.0136874461083475,1.86367757776236,Up,0.306685665555233
MCOLN3,0.305814112348245,0.0016416588525108,2.78471708708574,Up,0.305814112348245
APOBEC3B,0.304321772385393,0.0645529958930855,1.19008359739999,NS,0.304321772385393
IFNK,0.304256889562487,0.089748074880577,1.04697485837872,NS,0.304256889562487
MS4A12,0.304153433604698,0.211768705276212,0.67413821859132,NS,0.304153433604698
SNORA69,0.304125133657653,0.125410907320098,0.901664690116699,NS,0.304125133657653
CPA6,-0.30377567627551,0.046561477066134,1.3319732510494,Down,0.30377567627551
DPY19L2P2,-0.303092408100011,0.155988597387244,0.806907146983944,NS,0.303092408100011
C8orf8,0.302583493820261,0.0885155736654316,1.05298031165329,NS,0.302583493820261
TOX,-0.302388417216958,1.14034532934604E-05,4.94296361189263,Down,0.302388417216958
DSCC1,-0.302316029152942,0.155383614151269,0.808594781280877,NS,0.302316029152942
EEF1E1,0.302083179828225,0.185348235194586,0.73201154477821,NS,0.302083179828225
MT1M,0.301880036019685,0.124463384772781,0.904958392583809,NS,0.301880036019685
KIF4B,0.301357755159756,0.234428766461262,0.629989097650316,NS,0.301357755159756
CCDC129,0.300718106071833,0.121191541559714,0.916527690253323,NS,0.300718106071833
LRRIQ3,0.300647917116778,0.141839869847479,0.848201675916358,NS,0.300647917116778
PCP4,-0.300462841233101,0.216473525545067,0.664595209762063,NS,0.300462841233101
FAM175A,-0.300008426966981,0.0217140719042324,1.66325872837793,NS,0.300008426966981
OR8I2,0.299857957943886,0.110811022814928,0.955417036452424,NS,0.299857957943886
TNFRSF11B,0.299194879388634,0.240425763502927,0.619018996121699,NS,0.299194879388634
GINS3,0.298635364142236,0.0892668089626174,1.04930998975506,NS,0.298635364142236
CSGALNACT1,0.296849323520089,0.00523649944073043,2.28095893851374,NS,0.296849323520089
KRTAP13-2,0.296572608749151,0.0971042313041929,1.01276184535436,NS,0.296572608749151
PIGU,-0.29584767151755,0.00911772398136696,2.04011355922593,NS,0.29584767151755
B3GAT3,0.295409642465584,0.391483220358022,0.407286847813165,NS,0.295409642465584
OR1J4,0.294030869292956,0.260665367569284,0.583916666080136,NS,0.294030869292956
IL1B,-0.294021780880309,0.133777673174513,0.873616362100364,NS,0.294021780880309
TAS2R31,0.29347775675436,0.368449908495468,0.433621546998208,NS,0.29347775675436
EPSTI1,0.292276423940126,0.36685679189492,0.435503436095326,NS,0.292276423940126
PTPN20B,-0.292065908956295,0.011279081139165,1.94772627911549,NS,0.292065908956295
