name,logFC,DE_class
RTP1,-0.0010071863491216693,NS
TNIP2,-0.0010079855330449305,NS
SIRT4,-0.0010111436322675083,NS
MIR214,0.00101563509934266,NS
SLC24A6,0.0010198106293641818,NS
PLAC8,0.0010204192893081832,NS
BCL7A,-0.0010227040482468919,NS
ZNF502,0.0010251642109330161,NS
TNFRSF11A,0.0010255877215565867,NS
PTDSS2,0.0010293661854581249,NS
RARS2,-0.0010371245769187354,NS
ERLEC1,-0.001040286068318963,NS
HPX,0.0010419307751010631,NS
PALM3,-0.0010420414331373529,NS
PTGS2,-0.0010434831426744395,NS
TMEM8B,-0.0010448066189598926,NS
TMCO1,0.001050057883920097,NS
UBP1,0.0010516987387716448,NS
SP3,-0.0010559282859263774,NS
ZNF780B,-0.0010583325197455196,NS
C19orf57,-0.0010592952416679235,NS
ABCB7,0.0010594221023665362,NS
GLI1,0.0010607208052724193,NS
HSCB,-0.0010719346631464788,NS
MVD,-0.0010720741957719326,NS
TRNAU1AP,0.0010814769337841312,NS
ADAT3,0.0010822391276961163,NS
EDC4,-0.00108230160404732,NS
CUL4B,0.0010841064424549351,NS
MRFAP1L1,0.0010847846991102195,NS
LMF1,0.0010873030041951282,NS
SNRPD1,0.0010876395214687307,NS
PCDH8,-0.001088326887852098,NS
RNF13,-0.0010901390794328947,NS
DLK1,-0.0011023278751975951,NS
DCLRE1C,0.0011037226978847237,NS
ZNRF3,0.0011041414682759765,NS
SH2D1B,-0.0011056984685661186,NS
DDX60L,0.0011090541633780315,NS
SLC5A5,-0.0011130851681389053,NS
IQSEC3,-0.00111358840592235,NS
GAFA3,-0.0011147535579778545,NS
RHCE,0.0011151840109826505,NS
MAFB,-0.0011184540741808746,NS
PARN,0.0011192577243748225,NS
PRND,0.0011192750967934373,NS
AFAP1L1,-0.0011277871245130022,NS
C14orf43,-0.0011292590922318269,NS
SPIN1,0.001130484507954499,NS
SYT15,-0.001130614634854643,NS
IRX5,-0.0011308815834132346,NS
WLS,0.0011328504436489695,NS
PARD3,-0.0011339417981210964,NS
UHRF1BP1L,0.0011349964419551384,NS
ESR2,-0.001135956688615769,NS
TSNARE1,0.0011392377062973136,NS
C7orf61,0.0011402760602550188,NS
ZNF420,-0.0011407868875163985,NS
NFKBIB,0.0011442028801611492,NS
LZIC,0.0011483758105754749,NS
UBE4B,0.001154562033815143,NS
PRAMEF7,-0.0011616363811337571,NS
ABHD8,0.001163123025053725,NS
PFDN1,-0.0011682745242675985,NS
PLA2G4D,-0.0011686785608535644,NS
SLC25A19,-0.0011739585044954204,NS
ATP2A3,-0.001174017185582521,NS
SUCLG1,0.0011783710101722633,NS
PKD1P1,-0.0011802614118843202,NS
CSNK1A1P1,-0.0011806928433102382,NS
PARP10,0.0011881175290677781,NS
SRRM1,0.0011897483312224288,NS
C8orf30A,0.0011903195204283623,NS
ZNF236,0.0011953609908768037,NS
HOXD4,-0.0011955610055212063,NS
REXO1L1,0.0011967588647054939,NS
CXCL11,0.0011973589804348261,NS
INTS6,0.0012006015587973096,NS
CTDNEP1,-0.0012011476836160107,NS
MEGF6,-0.0012022298595528724,NS
TSPAN31,-0.00121550366510359,NS
RHOA,0.0012206280759814447,NS
SKP1,-0.0012212193557750162,NS
SPTLC2,-0.001225268927344647,NS
SH3RF3,0.001226007421009978,NS
AGBL1,-0.0012264246478088658,NS
NAP1L1,0.0012313300864703614,NS
ALDH3B1,-0.0012320250147423994,NS
CHMP4B,0.0012363764954921308,NS
CEBPG,-0.0012432350584934415,NS
FAM182A,0.0012436657761496495,NS
C20orf200,-0.001249111687465998,NS
CBX1,0.0012511881984456075,NS
VAX2,-0.0012530884130783626,NS
PSMD6,0.0012544325036576431,NS
LCN2,-0.0012546280266061416,NS
EYA2,-0.0012553408365141294,NS
FXR1,0.0012558634026227367,NS
L3MBTL1,0.0012566376476630392,NS
SYF2,-0.001257968727762293,NS
MPRIP,-0.0012584865694322822,NS
GPR25,0.0012587204015739317,NS
SIRT5,-0.0012594063208906103,NS
GLI4,0.0012638789476331347,NS
C2orf50,-0.0012659348410584137,NS
VASH1,0.0012683457232611772,NS
TRAPPC3,-0.0012687358526366488,NS
NPW,0.0012708165079864386,NS
KIAA0753,-0.0012714597367828873,NS
LDLRAD1,0.0012740291030453044,NS
MIR139,-0.0012742683994972914,NS
ATP5I,0.0012748109558806675,NS
BOK,0.0012792876898171102,NS
C12orf28,-0.0012822065653885772,NS
TESK1,0.0012872713318747842,NS
