Selected,genes,log2 (ratio),-log10 (P_value)
No,RPN2,1.04786,1.86005
No,RPP38,-0.668551,1.61766
No,RRBP1,1.15528,3.80878
No,RRP8,0.899517,2.06842
No,S100A6,0.682943,1.52851
No,S100A8,1.11758,3.40624
No,S100P,0.913672,2.42901
No,SAA1,1.06875,5.32246
No,SAA2,0.868527,1.3866
No,SCARNA13,1.28141,2.4442
No,SCARNA5,1.46486,3.36712
No,SCARNA6,1.60841,3.42754
No,SDC2,2.23856,7.93811
No,SDC4,1.23517,2.35331
No,SDHAF2,0.992123,2.20162
No,SEC13,-0.701313,1.41551
No,SEC24B,0.905756,3.38027
No,SEPT10,-0.69849,1.5825
No,SERHL,1.73573,3.86952
No,SERPINB9,1.01479,2.46843
No,SERTAD1,0.67945,1.82863
No,SF3A3,-0.860783,1.38491
No,SF3B14,-0.684591,2.38104
No,SGMS2,0.668076,1.65779
No,SH2D4A,1.14808,5.05793
No,SHROOM3,0.973586,2.14979
No,SIGMAR1,0.802409,3.33851
No,SIPA1L2,1.17309,3.30753
No,SIX1,0.832795,1.41764
No,SLC16A1,1.40224,3.22835
No,SLC2A10,0.727285,2.89613
No,SLC2A3,2.32125,4.06103
No,SLC30A10,0.872188,3.76176
No,SLC35A4,0.837732,2.59435
No,SLC35C2,0.669873,2.65859
No,SLC38A2,0.665815,1.3487
No,SLC39A7,0.690656,1.66243
No,SLC44A4,1.36483,2.16547
No,SLC7A2,1.41836,2.34625
No,SLCO5A1,0.735495,4.01121
No,SMPD4,0.73153,2.00878
No,SNORA23,1.58569,2.64332
No,SNORA2A,1.46049,1.3859
No,SNORA45,1.03043,2.11101
No,SNORA48,0.994424,1.49795
No,SNORA52,1.20057,1.99763
No,SNORA57,0.705871,1.40497
No,SNORA60,1.41288,2.62134
No,SNORA80,1.05672,1.91424
No,SNORD116-13,2.0168,4.7598
No,SNORD15A,1.93961,3.71316
No,SNORD15B,1.8278,5.46311
No,SNORD1A,0.994837,1.67742
No,SNORD22,1.16253,2.33565
No,SNORD3A,1.08358,1.69913
No,SNORD51,1.49571,5.0313
No,SNORD59A,0.820774,2.03992
No,SNORD59B,1.62074,2.55106
No,SNORD60,0.750889,1.3082
No,SOCS5,0.690268,1.49413
No,SPATA5L1,0.879432,2.51926
No,SPATS2,0.701662,1.56988
No,SPRY4,1.12625,1.76887
No,SRD5A3,0.682005,3.11676
No,SRF,0.849679,1.42082
No,SRGN,1.25964,1.37632
No,SRSF7,0.800751,2.04226
No,SSSCA1,0.863641,1.75513
No,SSX8,0.949011,4.44514
No,ST6GALNAC4,0.665061,3.21112
No,STARD10,0.773111,1.94802
No,STC1,1.24071,1.83194
No,STK32B,0.708045,2.51599
No,STK38L,1.33831,3.27801
No,SYBU,1.05889,2.58689
No,SYK,0.725393,2.09449
No,SYS1,0.686728,2.62518
No,SYTL2,1.09652,1.31937
No,SYVN1,1.21694,4.90455
No,TAAR3,1.18196,7.86798
No,TAF1D,-0.893177,1.88611
No,TAPT1,0.739221,2.24628
No,TAS2R14,0.798044,2.48017
No,TAS2R60,0.72559,3.9474
No,TATDN2,-1.19157,1.94445
No,TBC1D30,1.15827,4.20373
No,TBC1D5,-1.00377,1.39918
No,TCF7L2,0.719148,1.33013
No,TERC,1.71425,3.74638
No,TESK2,0.732,1.46436
No,TFAP2C,0.848691,2.28495
No,TFPI2,0.822938,2.57828
No,THAP6,-0.666843,1.31861
No,THBS4,1.67599,1.51485
No,THOC7,-1.93465,1.40948
No,TIMM8A,0.894507,3.39104
No,TIMP1,0.977309,2.16304
No,TLR2,0.806184,4.15313
No,TMEM110,-0.924873,1.35207
No,TMEM163,0.821714,2.84708
No,TMEM185A,0.834307,1.93413
No,TMEM229A,0.911313,1.66816
No,TMEM41A,1.17106,3.59327
No,TMEM87A,0.685674,1.32582
No,TNC,1.74135,3.2115
No,TNFSF10,2.33233,6.22026
No,TNIK,0.992824,2.58326
No,TNKS,0.992756,3.0834
No,TOB1,1.11382,1.85941
No,TOMM40,0.808422,1.90892
No,TOP2B,-1.30831,1.87749
No,TOX3,0.922718,2.25668
No,TPMT,-0.676369,1.38417
No,TRAFD1,0.672745,1.30104
No,TREM1,1.37863,6.57136
No,TRIM27,1.09458,3.91125
No,TRPC4AP,1.12518,5.0431
No,TSG101,0.699498,1.74376
No,TSPAN8,1.008,1.30501
No,TSPYL2,0.896366,2.06234
No,TTC17,-1.08374,1.84077
No,TUBA1C,0.873658,1.9477
No,TUSC3,1.17968,3.26728
No,TXNIP,1.86831,4.14833
No,UBC,1.62417,5.49697
No,UBE2E2,-0.953876,1.64492
No,UBE4B,-0.783624,1.55794
No,UBXN8,0.669791,1.33155
No,UCN3,0.673064,3.08293
No,UCP2,1.46702,5.02688
No,UNC5A,0.710019,3.55981
No,USP28,-0.938478,1.97809
No,UTP20,0.668627,1.81989
No,VCP,0.743824,1.51657
No,VPS13B,1.17048,1.81347
No,VPS29,0.676389,1.47622
No,WDR67,0.807768,2.20873
No,XAGE3,0.788711,3.11696
No,XPO7,1.41419,4.65046
No,YME1L1,-1.15471,1.46158
No,ZBTB40,-0.703232,1.68545
No,ZMAT2,0.664638,1.99988
No,ZNF131,1.06542,4.15241
No,ZNF141,1.07413,2.96943
No,ZNF277,0.709321,2.09956
No,ZNF484,0.679095,1.33596
No,ZNF487P,0.990513,1.93114
No,ZNF596,0.768431,1.75731
No,ZNF716,0.735431,1.35103
No,ZNF821,0.769719,1.31905
No,ZNFX1,0.923414,1.7534
No,ZNHIT6,1.07361,6.01842
No,ZNRF3,-0.906532,2.0613
No,ZNRF4,0.694792,2.0744
