name,logFC,DE_class
FERMT1,0.0036275606221647383,NS
CXorf19,0.00362926746410297,NS
MAP3K3,-0.0036331940856295653,NS
ZNF525,-0.0036459390086758248,NS
SNORD116-28,0.003647428882527448,NS
TMEM151A,-0.003649020213946086,NS
KCNIP1,0.003653761612331774,NS
DHX15,-0.003658880580527324,NS
LRRC38,0.003660860206672112,NS
TARBP2,-0.0036616147847490232,NS
PDCD4,0.003664343910641854,NS
PRKCDBP,0.0036666812589891684,NS
SRF,-0.0036764480917992337,NS
ZFP161,-0.0036775485181845813,NS
TNFRSF13B,0.0036807017112923113,NS
IL1RAPL2,0.0036880756972006434,NS
GLRX2,0.0036886881844608865,NS
DDX54,-0.003688733862403648,NS
KCNC4,-0.0036964876585121598,NS
COL18A1,-0.0036982495529294113,NS
DCST1,-0.0036982813997694652,NS
PWWP2B,0.0037078992467314276,NS
CDH22,-0.0037202089950651995,NS
SOAT2,0.0037266775015969422,NS
ZC3HAV1L,0.003726993246971899,NS
TRIO,0.0037355647482346654,NS
