"gene","log2FC","negLog10P","significance"
"SULT1A3",0.0015545699747781,0.00512445980507542,"NS"
"PARVA",-0.00155805361383221,0.00957056848834176,"NS"
"CCDC60",-0.00156924788822077,0.00704716782962955,"NS"
"FAM36A",-0.00157221350502201,0.00926143518208735,"NS"
"STON1-GTF2A1L",0.00157330598309913,0.00755681227397595,"NS"
"WDR27",-0.00157413962541009,0.0094364135766329,"NS"
"PLLP",-0.00157707082731728,0.00793121195987141,"NS"
"SLC19A3",0.00158127546953213,0.00951281829940777,"NS"
"PSIP1",0.00159181297646871,0.007529975445912,"NS"
"NFKBIL1",0.00159703823217194,0.016947990420057,"NS"
"UROS",0.00159827086867481,0.0048199493327758,"NS"
"TP53I3",0.00160054553541711,0.0062020696902085,"NS"
"RBM10",-0.00160209014857804,0.00987393110526597,"NS"
"GNAS",0.00160432216323425,0.0267814589588142,"NS"
"PRKAG2",0.00162627463050313,0.00726537092614275,"NS"
"RAC3",-0.00163788079053129,0.0128269734724516,"NS"
"SEMA3G",-0.00163897589208828,0.0116903395846045,"NS"
"TMEM110",-0.00164179898109218,0.0123467028393263,"NS"
"PHF21A",0.00164549974063544,0.0201228809455032,"NS"
"GPAT2",-0.00164863542097859,0.01115673585118,"NS"
"MYO9A",0.00165585741726471,0.00690306036362119,"NS"
"KIF3B",-0.00165641356656332,0.0133470309997113,"NS"
"CDHR4",-0.00166277677666749,0.00961678748598148,"NS"
"MEIG1",-0.00166457541308213,0.00703564571721913,"NS"
"KIF12",-0.00166514607821178,0.01028018311238,"NS"
"SCAMP5",0.00167011563199915,0.00548270515369119,"NS"
"ZNF595",0.00167485184840532,0.00978827492451384,"NS"
"RAB11FIP4",0.00167772279160228,0.00530166426394199,"NS"
"FERMT2",0.00168858100903746,0.00801646135312783,"NS"
"KIAA0020",0.00169455996167378,0.00517451691020532,"NS"
"ZNF879",-0.00169515858928748,0.00590642738625936,"NS"
"CRTC3",-0.00169811551052756,0.0117959743054179,"NS"
"OTUD7A",0.00169915840422541,0.00642673245000272,"NS"
"FAM69A",0.00170111188201427,0.00427995769645149,"NS"
"SNTB2",-0.00170352362708526,0.00715017909068996,"NS"
"ST14",0.00170513050905852,0.0177549500178529,"NS"
"CUL3",-0.00170792497408367,0.00907319093638063,"NS"
"SLC15A5",0.00171143503348159,0.00775709648450829,"NS"
"NKX3-1",0.00171597367174714,0.0106518884013174,"NS"
"C17orf87",-0.00172181487687828,0.00698969344415292,"NS"
"SMTNL2",0.00172996021557692,0.0121807724800091,"NS"
"CHST3",-0.00173065689258411,0.024229900182951,"NS"
"MYLK3",0.00174614409276086,0.0108431766807538,"NS"
"PLEKHA2",-0.00174676869712265,0.00903663411063802,"NS"
"UGP2",-0.00174984985530635,0.00631679955145762,"NS"
"CATSPERB",-0.00175123515788511,0.00586753013824847,"NS"
