"gene","log2FC","pvalue","negLog10P","significance"
"INPP5K",-0.0606540733519327,0.0690208820381289,1.1610194950323,"NS"
"TM4SF18",-0.0606586670901579,0.473645480782045,0.324546602095271,"NS"
"PLG",0.0606681878832782,0.216199547563225,0.665145219221748,"NS"
"SLC45A4",0.0606682263349847,0.114683326779624,0.940499717355502,"NS"
"CBLN2",0.0606761224161756,0.299693382647515,0.523322846348306,"NS"
"FAM78B",0.060684613047836,0.0283753035590748,1.54705948369042,"NS"
"ETV6",0.0606928134396245,0.278013756218489,0.555933714506473,"NS"
"DEFB115",0.0607020326773029,0.24245206416498,0.615374114078279,"NS"
"KIAA1656",-0.0607061118539761,0.292968097588749,0.533179669050336,"NS"
"CD40LG",0.0607084978713962,0.324221528179783,0.489158151550198,"NS"
"SERPINA4",0.0607275945737313,0.240158259873149,0.619502471878899,"NS"
"ROR2",0.0607278508608726,0.212930761886388,0.671761591955606,"NS"
"C9orf172",0.060738732340196,0.290102381709228,0.537448705671899,"NS"
"CABIN1",-0.0607429723375317,0.0259559779463734,1.58576260351361,"NS"
"PCDHB11",0.0607537589423839,0.481436206163657,0.31746125193841,"NS"
"CHRM1",-0.0607634763693368,0.179983773644345,0.744766646754322,"NS"
"OR2K2",0.0607708695980864,0.326204667499193,0.48650982914908,"NS"
"WRN",0.0607809912791208,0.364095947519123,0.438784154847648,"NS"
"PACRGL",0.0607842108437076,0.134261159155267,0.872049607616144,"NS"
"IL2RG",-0.060806353885744,0.148830890076815,0.827306920956688,"NS"
"AP1G2",-0.0608482497235028,0.0239169653885723,1.62129392495969,"NS"
"SHMT1",-0.060858803664859,0.338721739203297,0.470156929387087,"NS"
"UGDH",0.0608617188159557,0.48817815767036,0.311421655921381,"NS"
"SVEP1",0.060868805438542,0.436275202003013,0.360239471723981,"NS"
"DCXR",-0.0608741054017163,0.178110559940494,0.749310331025637,"NS"
"ACP5",-0.0608759770529994,0.295192196344958,0.529895127638697,"NS"
"NEDD4L",-0.0608966727464648,0.545573669433102,0.263146597838104,"NS"
"KANK2",0.0608998173847315,0.114536016520132,0.941057925408209,"NS"
"MGC14436",-0.0609026629762072,0.395097827784049,0.40329535802798,"NS"
"HRH4",-0.0609088508325485,0.323837298903621,0.489673131570535,"NS"
"DHRS7",-0.0609111364959127,0.520179041775693,0.283847149688257,"NS"
"C4orf37",-0.0609135723734044,0.135706825662537,0.867398308029101,"NS"
"SRRD",-0.0609149420067228,0.240946275851847,0.618079781915136,"NS"
"SIGIRR",-0.0609217816306897,0.180412524608103,0.743733316132344,"NS"
"RTP4",0.0609253622154136,0.302334396897197,0.519512439878626,"NS"
"CCDC149",-0.0609258767858438,0.0598167822451293,1.22317695290234,"NS"
"ARFIP2",-0.0609421534366734,0.253741367860326,0.595608723283241,"NS"
"IGSF5",-0.0609454172297548,0.43400256242039,0.362507706335991,"NS"
"KCNA2",-0.0609518740901289,0.011883953201299,1.92503906710547,"NS"
"TMEM99",0.060952918066759,0.352834560628034,0.452428881717876,"NS"
"HIST1H3J",-0.0609537555721235,0.423175411261244,0.373479575055571,"NS"
"HSD17B7P2",0.0609762012051824,0.438790519827493,0.357742764030516,"NS"
"KCTD9",-0.0609792449434892,0.196836471057474,0.705894429728204,"NS"
"DOPEY2",-0.0609902317209419,0.179451259784243,0.746053488484686,"NS"
"COPS2",0.0609953736333524,0.103673503503485,0.984332224831747,"NS"
"GPR52",0.0610089239496638,0.303153604526449,0.518337263593818,"NS"
"VCL",0.0610130938752143,0.146349842421009,0.834607740847018,"NS"
"C5orf40",-0.0610140896300397,0.0673105335659189,1.17191696680745,"NS"
"HSPA9",-0.0610197418402105,0.0541705376754541,1.26623685375517,"NS"
"MRPL1",-0.0610234022654972,0.206995735647804,0.684038601420879,"NS"
"OR52N1",-0.0610293633456855,0.28910083801075,0.538950649446889,"NS"
"CATSPER3",0.0610435130433604,0.221858110817101,0.653924689468403,"NS"
"SPSB4",0.0610438727178884,0.0157593409781654,1.80246194773038,"NS"
"RNASE12",0.061044846151342,0.0627630101988012,1.20229623523523,"NS"
"NCRNA00247",0.0610506574632736,0.204832748679349,0.688600607101884,"NS"
"ZNF514",0.0610510394265995,0.227565221274424,0.642894110303031,"NS"
"TSPY3",-0.0610512465108478,0.0423602724544793,1.37304125524311,"NS"
"KAT5",-0.0610641744573197,0.122266591845939,0.912692193486992,"NS"
"ADH5",0.0610671904017632,0.110280265088102,0.957502198622108,"NS"
"LOC100133106",0.0610777589054483,0.133468418168207,0.87462148664318,"NS"
"VAC14",-0.0610802461451194,0.0361411006348352,1.44199862564457,"NS"
"LARGE",0.0610983351508041,0.00491611624771302,2.30837785622834,"NS"
