"gene","log2FC","pvalue","negLog10P","significance"
"TFRC",0.000922721722741882,0.994450135222927,0.0024169888497157,"NS"
"ADD1",-0.00092670707343645,0.977441063504938,0.00990941967761388,"NS"
"TRPV3",-0.00093825995743857,0.980707497656701,0.00846050444047518,"NS"
"KLHL33",-0.000938729517560688,0.99135940604801,0.00376886845516906,"NS"
"SFRS15",-0.000944743987576935,0.963294693371898,0.0162408321623455,"NS"
"SHANK1",-0.000945686080150887,0.990886163923024,0.00397623574659209,"NS"
"B3GAT1",-0.000947707726562053,0.989542961955888,0.00456534573718322,"NS"
"ZNF296",-0.000950860176514023,0.987377211459134,0.00551690046240398,"NS"
"TUBB4",-0.000952570616819415,0.989350526701326,0.00464981068683555,"NS"
"APOC3",0.000957260630512602,0.977701038618031,0.00979392346115824,"NS"
"GTPBP1",-0.000960184527321495,0.991858593013623,0.00355023979277797,"NS"
"NBPF9",0.000962065023384806,0.980287434004581,0.00864656441034932,"NS"
"FHL5",-0.000967847828229118,0.996323142265281,0.00159978191583404,"NS"
"C14orf149",0.00097550069953245,0.993085016615832,0.0030135705714368,"NS"
"EFR3B",-0.000979755804519034,0.992764726300649,0.0031536620543831,"NS"
"KLHL20",0.000981199409856748,0.993623573017397,0.00277811371546576,"NS"
"BZRAP1",0.000989857234067415,0.925499942013013,0.0336236041216976,"NS"
"SOS2",-0.000991347072072823,0.99023663803857,0.00426100912590983,"NS"
"TRIM25",-0.000995095181174133,0.991060060633449,0.00390002542260197,"NS"
"FAM69A",0.00100068841228551,0.993798312762771,0.00270174492037155,"NS"
"LOC728407",0.00101131157052992,0.99321134072367,0.00295833021131933,"NS"
"LAP3",0.00101188508085626,0.989827478894747,0.00444049377935321,"NS"
"B9D2",-0.00101720282226747,0.982097830876907,0.00784524816645591,"NS"
"FBXL18",-0.00102045699854147,0.990222457215472,0.00426722854567499,"NS"
"HTR5A",0.00102518381584593,0.988201303285948,0.00515457767841528,"NS"
"TTLL6",-0.00102607918539221,0.993334575587599,0.00290444751874061,"NS"
"CILP2",0.00102871027144391,0.982010702112636,0.00788377917523398,"NS"
"TRIM44",-0.00103229302595187,0.978394261771472,0.00948610307754935,"NS"
