"gene","log2FC","negLog10P","significance"
"HIST1H2AJ",-0.000544086223092322,0.00443111858560633,"NS"
"FASTKD5",0.000544633893595714,0.00820994941979978,"NS"
"HIST1H2AL",-0.000545894990242601,0.014987638671211,"NS"
"OAF",0.000560069037122357,0.0110730870865165,"NS"
"POC5",0.000561276526046095,0.00951466441288488,"NS"
"SEPT6",0.000561996404865983,0.00921026047895105,"NS"
"HS3ST4",-0.000563800307483264,0.012536392334184,"NS"
"ADCY7",0.000568257847942233,0.0105024389539887,"NS"
"SLC6A1",-0.000572183245875602,0.00775926948395624,"NS"
"ANGEL1",0.000575050313656789,0.0154797912748645,"NS"
"LRIT1",-0.000577741025264977,0.00823029557806348,"NS"
"TCFL5",-0.000583302536247832,0.0105248047152252,"NS"
"C19orf63",-0.000590099430996638,0.0249072351392776,"NS"
"TBPL1",0.000590489406076644,0.00657176472076768,"NS"
"TIMM17B",0.000590674379024492,0.011652449578559,"NS"
"ANKRD13D",-0.000595209330328528,0.0169374859791297,"NS"
"GNG13",-0.000595299173376418,0.0128908683670431,"NS"
"SEC14L1",0.000596200828367532,0.0102288530247858,"NS"
"ZFYVE26",-0.000596285775309013,0.0164032445096963,"NS"
"MGMT",-0.000606727657587847,0.0171503357301104,"NS"
"VRK1",-0.000608323363342933,0.006273067556797,"NS"
"C14orf142",0.000608337063614961,0.0120276248608449,"NS"
"B4GALT5",0.000608649658717209,0.0101665945594175,"NS"
"TSSC4",0.000608713867180199,0.0128539424441802,"NS"
"LOC146880",0.000609827525400508,0.0125789835955582,"NS"
"PHF13",-0.00060997111831762,0.0129998458428449,"NS"
"MRE11A",0.000610230828464564,0.00699329602345655,"NS"
"MIR423",0.000610989873293333,0.0109775433726959,"NS"
"OTX2",0.000612083167439659,0.0110478321574374,"NS"
"CNNM3",-0.000613191532914614,0.0108028014387086,"NS"
"SPDYE5",0.000627535229388076,0.0174220678830287,"NS"
"FLJ90757",0.000629114062224989,0.016270056185601,"NS"
"SLC24A2",0.000631840578380505,0.00915971731654774,"NS"
"C1QB",0.000638255166322876,0.00842972534829662,"NS"
"DOLK",0.000640380740980717,0.0150178137260682,"NS"
"SOD2",0.000642460593440752,0.00547308257064149,"NS"
"ZNF202",-0.000643126541481909,0.0100145556407951,"NS"
"GRRP1",-0.00064612291052768,0.0179956226711635,"NS"
"MRPS30",0.000646761591109213,0.0119110207396538,"NS"
"NCRNA00115",0.000647207140715089,0.0144823640343028,"NS"
"IK",-0.000647444400473152,0.00803446307641361,"NS"
"TRNP1",-0.000647979420593803,0.0204380177072952,"NS"
"NKAIN4",0.000648908954449023,0.0135029293201102,"NS"
"GPR37L1",0.000650950289802221,0.0178669590220192,"NS"
