name,logFC,DE_class
CD160,-0.0019380487125313373,NS
KIR3DL3,0.0019396780217515452,NS
IFT27,-0.0019406757497582028,NS
DISP2,-0.0019423053342528807,NS
WIPI2,-0.001946988872238542,NS
SH2B1,0.0019477348331222721,NS
PIK3AP1,0.0019479390966521404,NS
GPR141,-0.0019481650644663784,NS
ANK3,-0.0019515023012457444,NS
BTN2A1,-0.0019640524335624576,NS
PID1,-0.0019653635872840525,NS
FGA,0.001969809088280261,NS
LY6G6D,0.0019765201220640627,NS
CHRD,0.001976783658222958,NS
NISCH,0.0019812946803390297,NS
LOC100130269,0.001983451514685486,NS
ECHS1,-0.00198574001221985,NS
CCDC102A,0.001991404590501178,NS
C12orf52,0.0019969737425453715,NS
FAM26F,0.001999896288041647,NS
MPZL1,-0.0020075266001939873,NS
C6orf108,-0.002010926605778618,NS
NFKBIB,0.0020149983805044513,NS
PAAF1,-0.002020412505100655,NS
NCOA2,0.0020208629543279066,NS
ZCCHC24,-0.002025507247987779,NS
ANXA4,0.002040723834247249,NS
PVR,-0.0020418820571999063,NS
KCNK3,0.00204217553417263,NS
RUNX3,-0.0020432132090379973,NS
UFSP1,-0.002053187218008956,NS
RECQL4,0.0020614994838681344,NS
C11orf95,-0.002062924703559954,NS
NBPF4,0.0020659152924278334,NS
ARRDC4,0.002066285885692132,NS
DKKL1,0.002069705246811715,NS
PPP2R1A,0.0020774240890379936,NS
CNR2,0.002086150725607583,NS
C15orf51,0.002088320817221323,NS
ACTN2,-0.0020887885659542915,NS
ANXA10,0.002109688879875282,NS
FLJ42102,0.002116622418578906,NS
GPR115,-0.0021231578940198448,NS
HTATIP2,0.0021241884182074955,NS
FLJ35934,-0.002124350098569927,NS
BCCIP,0.0021256400410083476,NS
FCER2,-0.0021301401836153477,NS
LOC400968,0.00213101856927822,NS
FOXF2,0.002132268745899557,NS
RFK,0.0021342770178063297,NS
CD8A,0.00214201065448405,NS
PRPF19,0.002142074392464721,NS
NKX2-4,0.002145502635217511,NS
OR4K5,-0.0021537707380174798,NS
BCL2L12,0.0021587736060695306,NS
LYAR,-0.00216617274220976,NS
SALL1,0.0021671516274306413,NS
ANXA2,-0.0021715139371405456,NS
C20orf134,-0.0021816459696115675,NS
MSX2,-0.002186109649562118,NS
DCLRE1A,-0.002189387627905659,NS
KRT5,0.0021958305783327248,NS
SLC25A10,0.0021978496929104807,NS
OR6K6,0.0022003304328883644,NS
HSPA2,-0.002200359886827208,NS
